Cell B29: Value=28. Fortress of Fury, Bold=False, FillType=None, Color=00000000
Cell A30: Value=29. Stille Dood oor die Sahara, Bold=False, FillType=None, Color=00000000
Cell B30: Value=29. Death Stalks the Brave, Bold=False, FillType=None, Color=00000000
Cell A31: Value=30. Die Verraaier van Dini-Salam, Bold=False, FillType=None, Color=00000000
Cell B31: Value=30. The Traitor of Dini Salam, Bold=False, FillType=None, Color=00000000
Cell A32: Value=31. Graf in die Woestyn, Bold=False, FillType=None, Color=00000000
Cell B32: Value=31. Desert Tomb, Bold=False, FillType=None, Color=00000000
Cell A33: Value=32. Vlamme in die Woestyn, Bold=False, FillType=None, Color=00000000
Cell B33: Value=32. Flames across the Sands, Bold=False, FillType=None, Color=00000000
Cell A34: Value=33. Noodroep uit die Woestyn, Bold=False, FillType=None, Color=00000000
Cell B34: Value=33. Signal from the Dunes, Bold=False, FillType=None, Color=00000000
Cell A35: Value=34. Spore van Verraad, Bold=False, FillType=None, Color=00000000
Cell B35: Value=34. Footprints of Betrayal, Bold=False, FillType=None, Color=00000000
Cell A36: Value=35. Die Raaisel van Aber-el-Mir, Bold=False, FillType=None, Color=00000000
Cell B36: Value=35. Aber-el-Mir’s Secret, Bold=False, FillType=None, Color=00000000
Cell A37: Value=36. ’n Teken in die Nag, Bold=False, FillType=None, Color=00000000
Cell B37: Value=36. Signal in the Dark, Bold=False, FillType=None, Color=00000000
Cell A38: Value=37. Die Swaard van Verwoesting, Bold=False, FillType=None, Color=00000000
Cell B38: Value=37. Sword of Destruction, Bold=False, FillType=None, Color=00000000
Cell A39: Value=38. Vuurpeleton lê Aan, Bold=False, FillType=None, Color=00000000
Cell B39: Value=38. Under a Blazing Sky, Bold=False, FillType=None, Color=00000000
Cell A40: Value=39. Die Bloedbad van Goras, Bold=False, FillType=None, Color=00000000
Cell B40: Value=39. The Goras Bloodbath, Bold=False, FillType=None, Color=00000000
Cell A41: Value=40. Die Geheim van Fort Laval, Bold=False, FillType=None, Color=00000000
Cell B41: Value=40. The Secret of Fort Laval, Bold=False, FillType=None, Color=00000000
Cell A43: Value=Die Swart Luiperd Reeks (Afrikaans ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
Cell B43: Value=The Black Leopard Series (English ebooks only), Bold=True, FillType=solid, Color=FFFFFF00
